source;target;recurrence
interaction;de;1
animal;dans;1
dans;son;1
son;habitat;1
habitat;naturel;1
naturel;.;1
il;avoir;1
avoir;découvrir;1
découvrir;un;1
un;espèce;1
espèce;de;1
de;oiseau;1
oiseau;qui;1
qui;,;1
,;selon;1
selon;lui;1
lui;,;1
,;pouvoir;1
pouvoir;être;1
un;variation;1
variation;rare;1
rare;de;1
de;perroquet;1
perroquet;.;1
avoir;nommer;1
nommer;ce;1
ce;oiseau;1
oiseau;"""";1
"""";perroquet;1
perroquet;de;1
de;cristal;1
cristal;"""";1
"""";,;1
,;en;1
en;raison;1
raison;de;1
de;le;1
le;transparence;1
transparence;de;1
son;plume;1
plume;.;1
forêt;où;1
où;il;1
il;travailler;1
travailler;être;1
un;lieu;1
lieu;remplir;1
remplir;de;1
de;merveille;1
merveille;.;1
le;arbre;1
arbre;majestueux;1
majestueux;,;1
,;haut;1
haut;de;1
de;plusieurs;1
plusieurs;mètre;1
mètre;,;1
,;sembler;1
sembler;toucher;1
toucher;le;1
le;ciel;1
ciel;.;1
paul;être;1
être;souvent;1
souvent;émerveiller;1
émerveiller;par;1
par;le;1
le;robustesse;1
robustesse;de;1
de;chêne;1
chêne;et;1
et;le;1
le;douceur;1
douceur;de;1
de;saule;1
saule;pleureur;1
pleureur;qui;1
qui;border;1
border;le;1
le;rivière;1
rivière;.;1
max;,;1
,;luire;1
luire;,;1
adorer;courir;1
courir;dans;1
le;clairière;1
clairière;et;1
et;se;1
se;rouler;1
rouler;dans;1
le;feuille;1
feuille;.;1
un;jour;1
jour;,;1
,;alors;1
alors;que;1
que;il;1
il;explorer;1
explorer;un;1
un;nouveau;1
nouveau;zone;1
zone;de;1
forêt;,;1
marie;avoir;1
avoir;trouver;1
trouver;un;1
un;insecte;1
insecte;géant;1
géant;qui;1
qui;ressembler;1
ressembler;à;1
à;un;1
un;libellule;1
libellule;,;1
,;mais;1
mais;en;1
en;beaucoup;1
beaucoup;plus;1
plus;grand;1
grand;.;1
avoir;prendre;1
prendre;un;1
un;échantillon;1
échantillon;pour;1
le;étudier;1
étudier;dans;1
dans;leur;1
leur;laboratoire;1
laboratoire;respectif;1
respectif;.;1
paul;penser;1
penser;que;1
que;ce;1
ce;insecte;1
insecte;pouvoir;1
pouvoir;avoir;1
avoir;un;1
un;propriété;1
propriété;intéressant;1
intéressant;pour;1
le;recherche;1
recherche;médical;1
médical;.;1
toujours;curieux;1
curieux;,;1
,;se;1
se;être;1
être;approcher;1
approcher;de;1
un;nid;1
nid;de;1
oiseau;pour;1
le;observer;1
observer;de;1
de;plus;1
plus;près;1
près;.;1
avoir;avertir;1
avertir;paul;1
paul;que;1
que;max;1
max;pouvoir;1
pouvoir;déranger;1
déranger;le;1
oiseau;,;1
mais;paul;1
paul;luire;1
luire;avoir;1
avoir;répondre;1
répondre;que;1
être;suffisamment;1
suffisamment;prudent;1
prudent;pour;1
pour;ne;1
ne;pas;1
pas;causer;1
causer;de;1
de;problème;1
problème;.;1
le;collaboration;1
collaboration;entrer;1
entrer;paul;1
marie;être;1
être;fructueux;1
fructueux;.;1
avoir;présenter;1
présenter;leur;1
leur;recherche;1
recherche;à;1
à;plusieurs;1
plusieurs;conférence;1
conférence;international;1
international;,;1
,;où;1
avoir;recevoir;1
recevoir;un;1
un;éloge;1
éloge;pour;1
pour;son;1
son;travail;1
travail;novateur;1
novateur;.;1
leur;découverte;1
découverte;avoir;1
avoir;susciter;1
susciter;le;1
le;intérêt;1
intérêt;de;1
de;nombreux;1
nombreux;chercheur;1
chercheur;,;1
avoir;être;1
être;inviter;1
inviter;à;1
à;rejoindre;1
rejoindre;un;1
un;projet;1
projet;de;1
de;recherche;1
recherche;mondial;1
mondial;sur;1
le;biodiversité;1
biodiversité;.;1
marie;habiter;1
habiter;à;1
à;paris;1
paris;,;1
un;ville;1
ville;que;1
que;lui;1
lui;adorer;1
adorer;.;1
chaque;matin;1
matin;,;1
,;lui;1
lui;prendre;1
prendre;son;1
son;café;1
café;dans;1
le;cuisine;1
cuisine;,;1
un;endroit;1
endroit;calme;1
calme;à;1
à;côté;1
côté;de;1
de;salon;1
salon;.;1
le;table;1
table;,;1
lui;disposer;1
disposer;un;1
un;vase;1
vase;au-dessus;1
au-dessus;de;1
de;journal;1
journal;.;1
temps;en;1
en;temps;1
temps;,;1
lui;regarder;1
regarder;par;1
le;fenêtre;1
fenêtre;pour;1
pour;observer;1
observer;ce;1
ce;qui;1
qui;se;1
se;passer;1
passer;devant;1
devant;le;1
le;maison;1
maison;.;1
derrière;le;1
le;jardin;1
jardin;,;1
il;y;1
y;avoir;1
un;grand;1
grand;parc;1
parc;où;1
où;le;1
le;enfant;1
enfant;aimer;1
aimer;jouer;1
jouer;.;1
l’;été;1
été;,;1
passer;souvent;1
souvent;son;1
son;soirée;1
soirée;à;1
à;le;1
le;plage;1
plage;avec;1
avec;son;1
son;ami;1
ami;.;1
lui;préférer;1
préférer;se;1
se;asseoir;1
asseoir;en-dessous;1
en-dessous;de;1
de;parasol;1
parasol;pour;1
pour;se;1
se;protéger;1
protéger;de;1
de;soleil;1
soleil;.;1
le;week;1
week;-;1
-;end;1
end;,;1
,;marie;1
marie;aimer;1
aimer;rendre;1
rendre;visite;1
visite;chez;1
chez;son;1
son;parent;1
parent;qui;1
qui;vivre;1
vivre;à;1
le;campagne;1
campagne;.;1
le;cour;1
cour;de;1
le;ferme;1
ferme;,;1
un;vieux;1
vieux;puits;1
puits;à;1
côté;duquel;1
duquel;le;1
enfant;jouer;1
jouer;souvent;1
souvent;.;1
lorsque;lui;1
être;fatiguer;1
fatiguer;,;1
lui;se;1
se;repose;1
repose;sur;1
le;canapé;1
canapé;dans;1
le;salon;1
passer;parfois;1
parfois;un;1
un;heure;1
heure;devant;1
le;télévision;1
télévision;à;1
à;regarder;1
regarder;un;1
un;film;1
film;.;1
le;montagne;1
montagne;,;1
où;lui;1
lui;aimer;1
aimer;faire;1
faire;un;1
un;randonnée;1
randonnée;,;1
,;le;1
le;paysage;1
paysage;être;1
être;magnifique;1
magnifique;,;1
,;avec;1
avec;un;1
un;sentier;1
sentier;qui;1
qui;monter;1
monter;au-dessus;1
de;vallée;1
vallée;.;1
